web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716727973-72","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Ford focus","https://www.dakarvente.com/annonce-19395-location-ford-focus.html","Location Ford focus","30.000  FCFA","Dakar","media/annonces/pics/c493dd93c7f53a76e2a3e56bad829219.jpg"
"1716728021-73","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","LOCATION HYUNDAI ELANTRA","https://www.dakarvente.com/annonce-19396-location-hyundai-elantra.html","LOCATION HYUNDAI ELANTRA","30.000  FCFA","Point E","media/annonces/pics/50d2bee78f4c77d36a04517dc80219cc.jpg"
"1716728061-74","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","LOCATION RANGE ROVER","https://www.dakarvente.com/annonce-19397-location-range-rover.html","LOCATION RANGE ROVER","200.000  FCFA","Dakar","media/annonces/pics/d2f68c5ce9ff77083e93f3ee4f43166d.jpg"
"1716728088-75","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente","https://www.dakarvente.com/annonce-19701-location-et-vente.html","Location et vente","35.000  FCFA","Médina","media/annonces/pics/5b49ce37788e1c7d8bafeee8ceeffd6d.jpeg"
"1716728115-76","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente","https://www.dakarvente.com/annonce-19702-location-et-vente.html","Location et vente","45.000  FCFA","Médina","media/annonces/pics/b0f6945834cc5405b02c5d173d443646.jpeg"
"1716728142-77","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","BiTi - Réservation de transport de l'AIBD","https://www.dakarvente.com/annonce-19896-biti-rservation-de-transport-de-l-aibd.html","BiTi - Réservation de transport de l'AIBD","23.000  FCFA","Dakar","media/annonces/pics/7e8d3530574797fac2cfb6c334a1524c.jpeg"
"1716728169-78","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-19897-location-de-voiture.html","Location de voiture","35.000  FCFA","Grand Yoff","media/annonces/pics/4dd3ab855d92c4ca9b0ec3b38a8c13f1.jpeg"
"1716728196-79","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Véhicule à louer","https://www.dakarvente.com/annonce-20208-vhicule-louer.html","Véhicule à louer","15.000  FCFA","Ouakam","media/annonces/pics/d0fc0498bf0601c18995806c838ce947.jpg"
"1716728223-80","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Kia Picanto à louer avec chauffeur","https://www.dakarvente.com/annonce-20803-kia-picanto-louer-avec-chauffeur.html","Kia Picanto à louer avec chauffeur","25.000  FCFA","HLM","media/annonces/pics/34df488dea6548bd76f1025f25b03809.jpg"
"1716728250-81","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location PEUGEOT PARTENAIRE","https://www.dakarvente.com/annonce-21044-location-peugeot-partenaire.html","Location PEUGEOT PARTENAIRE","25.000  FCFA","Ouakam","media/annonces/pics/1a438c0ac81b0d1436d411691160cc7c.jpg"
"1716728304-82","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","location Mitsubishi L200 climatisée","https://www.dakarvente.com/annonce-21343-location-mitsubishi-l200-climatise.html","location Mitsubishi L200 climatisée","","HLM","media/annonces/pics/85c732b62ecaab6e55ca7689eb05e148.jpeg"
"1716728331-83","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de voiture","https://www.dakarvente.com/annonce-21658-location-de-voiture.html","Location de voiture","100  FCFA","Cité Keur Gorgui","media/annonces/pics/64e82509f242471e25bf59d8958434e0.jpeg"
"1716728358-84","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Océan Afrique","https://www.dakarvente.com/annonce-23101-ocan-afrique.html","Océan Afrique","","Ouest Foire","media/annonces/pics/8ce41b47ac18801afdeace732593f2e9.png"
"1716728384-85","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de Bus","https://www.dakarvente.com/annonce-23112-location-de-bus.html","Location de Bus","10.000  FCFA","Keur Massar","media/annonces/pics/d1197b639b8a909f74b9da989612f75e.jpeg"
"1716728411-86","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de véhicules","https://www.dakarvente.com/annonce-23594-location-de-vhicules.html","Location de véhicules","15.000  FCFA","Ouakam","img/nophoto.png"
"1716728437-87","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de voiture","https://www.dakarvente.com/annonce-25263-location-de-voiture.html","Location de voiture","15.000  FCFA","Ouakam","media/annonces/pics/4230267e1bcbb509e8085137f23e8e80.jpg"
"1716728464-88","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location Ford Explorer","https://www.dakarvente.com/annonce-25386-location-ford-explorer.html","Location Ford Explorer","40.000  FCFA","Sacré Coeur","media/annonces/pics/3edfcb07ebc7c26bce384f8c32e14cad.jpg"
"1716728491-89","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de voitures de luxe","https://www.dakarvente.com/annonce-26186-location-de-voitures-de-luxe.html","Location de voitures de luxe","100.000  FCFA","Almadies","media/annonces/pics/cc7954aa16b959cab704738daa880724.jpeg"
"1716728518-90","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location Kia Sportage","https://www.dakarvente.com/annonce-26727-location-kia-sportage.html","Location Kia Sportage","30.000  FCFA","Guédiawaye","media/annonces/pics/0396cdf51d37ef2a9a309ed317fbd64f.jpg"
"1716728545-91","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=2","Location de voiture","https://www.dakarvente.com/annonce-26795-location-de-voiture.html","Location de voiture","25.000  FCFA","Dakar","media/annonces/pics/c646f3b2139194299fede673c1faea66.jpeg"
